北海道	22.74 	1 	18.25 	15 	8.69 	39 	49.68 	2 	9.49 	21 	2.05 	41 	0.19 	38 
青森	21.27 	4 	17.02 	28 	10.66 	10 	48.96 	7 	10.15 	17 	2.35 	34 	0.26 	25 
岩手	19.82 	26 	18.73 	10 	12.84 	1 	51.38 	1 	8.04 	38 	2.54 	28 	0.42 	2 
宮城	19.96 	22 	16.91 	29 	10.68 	9 	47.55 	24 	7.37 	44 	2.34 	36 	0.18 	42 
秋田	20.69 	12 	16.31 	36 	11.50 	6 	48.51 	11 	8.33 	35 	2.69 	18 	0.24 	29 
														
山形	20.17 	17 	16.47 	34 	12.09 	2 	48.74 	10 	8.01 	39 	2.62 	22 	0.23 	30 
福島	19.53 	34 	18.35 	13 	11.39 	7 	49.27 	4 	8.11 	37 	2.72 	16 	0.26 	22 
茨城	20.02 	20 	17.69 	21 	10.38 	12 	48.09 	15 	10.69 	11 	2.39 	33 	0.30 	13 
栃木	19.47 	37 	17.45 	25 	11.59 	5 	48.50 	12 	9.43 	23 	1.99 	43 	0.35 	8 
群馬	19.48 	36 	17.85 	19 	10.03 	19 	47.36 	25 	10.56 	13 	2.74 	13 	0.26 	23 
														
埼玉	19.91 	23 	18.87 	8 	8.97 	30 	47.75 	19 	11.23 	6 	1.92 	44 	0.18 	39 
千葉	19.61 	32 	19.23 	5 	9.13 	29 	47.97 	16 	10.65 	12 	2.00 	42 	0.21 	33 
東京	21.25 	5 	17.33 	27 	8.58 	42 	47.17 	28 	9.15 	25 	1.89 	45 	0.10 	47 
神奈川	20.42 	15 	16.04 	41 	8.73 	36 	45.19 	41 	8.47 	32 	2.90 	6 	0.14 	44 
新潟	19.97 	21 	15.89 	45 	11.85 	4 	47.70 	22 	7.62 	41 	2.87 	8 	0.27 	20 
														
富山	20.77 	10 	16.36 	35 	10.16 	17 	47.29 	26 	9.72 	18 	3.28 	2 	0.36 	4 
石川	20.75 	11 	18.15 	18 	10.23 	16 	49.12 	6 	9.03 	28 	2.84 	11 	0.35 	6 
福井	20.39 	16 	18.16 	17 	9.27 	27 	47.81 	18 	9.63 	20 	3.47 	1 	0.35 	7 
山梨	19.64 	30 	15.49 	46 	10.28 	13 	45.41 	40 	7.93 	40 	2.71 	17 	0.20 	36 
長野	19.28 	40 	16.29 	37 	12.03 	3 	47.60 	23 	6.88 	46 	2.72 	15 	0.21 	32 
														
岐阜	19.73 	28 	17.70 	20 	9.58 	22 	47.01 	29 	8.51 	31 	3.04 	3 	0.29 	16 
静岡	18.62 	45 	15.91 	44 	10.25 	15 	44.78 	43 	7.43 	43 	2.56 	27 	0.27 	21 
愛知	20.02 	19 	15.95 	43 	8.79 	32 	44.75 	44 	8.51 	30 	2.56 	26 	0.24 	28 
三重	18.34 	47 	16.11 	40 	9.74 	20 	44.19 	45 	8.34 	34 	2.86 	9 	0.30 	14 
滋賀	20.46 	14 	19.28 	4 	8.65 	40 	48.39 	13 	8.41 	33 	2.94 	5 	0.30 	12 
														
京都	21.22 	7 	18.81 	9 	8.72 	37 	48.75 	9 	9.04 	27 	1.54 	47 	0.17 	43 
大阪	21.22 	8 	18.22 	16 	7.46 	47 	46.90 	31 	11.66 	2 	2.27 	38 	0.14 	45 
兵庫	20.60 	13 	17.49 	24 	8.56 	43 	46.64 	34 	9.04 	26 	2.58 	24 	0.18 	40 
奈良	20.06 	18 	20.55 	1 	8.61 	41 	49.21 	5 	10.17 	16 	2.05 	40 	0.18 	41 
和歌山	19.37 	39 	19.04 	7 	8.28 	45 	46.68 	33 	9.71 	19 	2.34 	35 	0.31 	10 
														
鳥取	21.06 	9 	16.56 	32 	10.27 	14 	47.89 	17 	7.48 	42 	2.58 	25 	0.36 	3 
島根	19.43 	38 	16.13 	39 	10.06 	18 	45.62 	39 	6.87 	47 	2.67 	19 	0.21 	34 
岡山	19.20 	42 	17.36 	26 	9.36 	25 	45.93 	37 	10.96 	7 	2.64 	20 	0.32 	9 
広島	19.90 	24 	18.32 	14 	8.78 	33 	47.00 	30 	9.43 	22 	2.51 	30 	0.22 	31 
山口	19.81 	27 	18.37 	12 	9.54 	23 	47.73 	20 	11.64 	3 	2.06 	39 	0.31 	11 
														
徳島	18.49 	46 	16.87 	30 	8.76 	34 	44.13 	46 	10.87 	8 	2.84 	10 	0.29 	17 
香川	18.64 	44 	18.61 	11 	8.76 	35 	46.00 	36 	7.07 	45 	2.53 	29 	0.46 	1 
愛媛	18.90 	43 	20.10 	2 	9.20 	28 	48.20 	14 	9.02 	29 	2.73 	14 	0.35 	5 
高知	19.62 	31 	19.82 	3 	9.42 	24 	48.87 	8 	11.82 	1 	2.95 	4 	0.28 	18 
福岡	22.48 	2 	14.33 	47 	8.33 	44 	45.14 	42 	10.81 	9 	2.82 	12 	0.20 	37 
														
佐賀	21.25 	6 	16.26 	38 	9.30 	26 	46.80 	32 	11.48 	5 	2.50 	32 	0.29 	15 
長崎	21.34 	3 	17.64 	22 	8.71 	38 	47.70 	21 	10.37 	15 	2.63 	21 	0.20 	35 
熊本	19.66 	29 	17.64 	23 	8.87 	31 	46.17 	35 	9.16 	24 	2.33 	37 	0.25 	26 
大分	19.55 	33 	16.51 	33 	9.68 	21 	45.74 	38 	10.49 	14 	2.89 	7 	0.24 	27 
宮崎	19.83 	25 	19.22 	6 	10.42 	11 	49.47 	3 	10.74 	10 	2.51 	31 	0.26 	24 
														
鹿児島	19.51 	35 	16.66 	31 	11.09 	8 	47.26 	27 	11.54 	4 	2.62 	23 	0.27 	19 
沖縄	19.22 	41 	15.96 	42 	8.04 	46 	43.22 	47 	8.28 	36 	1.63 	46 	0.13 	46 
