Afghanistan	19 976	18 952	38 928	63.3	63.2	63.2
Albania	1 465	1 413	2 878	76.3	79.9	78.0
Algeria	22 154	21 697	43 851	76.2	78.1	77.1
Andorra	-	-	 77	-	-	-
Angola	16 261	16 605	32 866	60.7	65.5	63.1
Antigua and Barbuda	 47	 51	 98	74.9	78.0	76.5
Argentina	22 049	23 147	45 196	73.5	79.5	76.6
Armenia	1 394	1 569	2 963	72.5	79.2	76.0
Australia	12 699	12 801	25 500	81.3	84.8	83.0
Austria	4 440	4 567	9 006	79.4	83.8	81.6
Azerbaijan	5 065	5 075	10 139	68.8	74.1	71.4
Bahamas	 191	 202	 393	69.9	76.6	73.2
Bahrain	1 100	 601	1 702	75.0	77.0	75.8
Bangladesh	83 259	81 430	164 689	73.0	75.6	74.3
Barbados	 139	 148	 287	74.3	77.7	76.0
Belarus	4 399	5 050	9 449	69.7	79.6	74.8
Belgium	5 744	5 845	11 590	79.3	83.5	81.4
Belize	 198	 200	 398	71.4	77.8	74.4
Benin	6 054	6 069	12 123	61.2	65.7	63.4
Bhutan	 410	 362	 772	72.0	74.4	73.1
Bolivia (Plurinational State of)	5 858	5 815	11 673	71.1	73.1	72.1
Bosnia and Herzegovina	1 607	1 674	3 281	74.4	79.1	76.8
Botswana	1 139	1 213	2 352	58.9	65.5	62.2
Brazil	104 436	108 124	212 559	72.4	79.4	75.9
Brunei Darussalam	 227	 210	 437	73.4	75.4	74.3
Bulgaria	3 374	3 574	6 948	71.6	78.6	75.1
Burkina Faso	10 445	10 459	20 903	60.1	65.2	62.7
Burundi	5 900	5 991	11 891	61.5	66.1	63.8
Cabo Verde	 279	 277	 556	69.9	77.9	74.0
Cambodia	8 162	8 557	16 719	67.2	72.7	70.1
Cameroon	13 277	13 269	26 546	60.3	64.5	62.4
Canada	18 732	19 010	37 742	80.4	84.1	82.2
Central African Republic	2 394	2 436	4 830	50.2	56.3	53.1
Chad	8 200	8 226	16 426	58.0	61.3	59.6
Chile	9 426	9 691	19 116	78.1	83.2	80.7
China	741 999	705 471	1447 470	74.7	80.5	77.4
Colombia	24 985	25 898	50 883	76.7	81.9	79.3
Comoros	 439	 431	 870	65.9	68.9	67.4
Congo	2 757	2 761	5 518	63.8	65.6	64.7
Cook Islands	-	-	 18	-	-	-
Costa Rica	2 545	2 549	5 094	78.3	83.4	80.8
Côte d'Ivoire	13 300	13 078	26 378	60.5	65.8	62.9
Croatia	1 979	2 126	4 105	75.5	81.6	78.6
Cuba	5 623	5 703	11 327	75.4	80.3	77.8
Cyprus	 604	 604	1 207	81.1	85.1	83.1
Czechia	5 273	5 436	10 709	76.3	81.9	79.1
Democratic People's Republic of Korea	12 608	13 170	25 779	69.3	75.7	72.6
Democratic Republic of the Congo	44 710	44 851	89 561	60.0	64.8	62.4
Denmark	2 879	2 913	5 792	79.6	83.0	81.3
Djibouti	 519	 469	 988	64.1	67.8	65.8
Dominica	-	-	 72	-	-	-
Dominican Republic	5 418	5 430	10 848	69.8	76.2	72.8
Ecuador	8 824	8 819	17 643	76.4	80.5	78.4
Egypt	51 703	50 632	102 334	69.6	74.1	71.8
El Salvador	3 036	3 450	6 486	70.6	79.1	75.0
Equatorial Guinea	 780	 623	1 403	60.9	63.6	62.2
Eritrea	1 778	1 769	3 546	61.3	67.1	64.1
