"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"14","神奈川県","14101","横浜市鶴見区","141010001001","本町通一丁目","35.502643","139.680165","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010002001","潮田町一丁目","35.504476","139.682396","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010003000","寛政町","35.501344","139.701084","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010002004","潮田町四丁目","35.503095","139.692805","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010004000","東寺尾東台","35.503422","139.663808","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010005000","大東町","35.504357","139.695019","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010006001","東寺尾一丁目","35.502661","139.649168","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010007003","岸谷三丁目","35.501048","139.665078","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010008001","朝日町一丁目","35.501881","139.696857","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010008002","朝日町二丁目","35.504774","139.697549","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010002003","潮田町三丁目","35.503560","139.689783","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010001002","本町通二丁目","35.502055","139.682785","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010002002","潮田町二丁目","35.503560","139.686235","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010009005","鶴見中央五丁目","35.503005","139.676643","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010010001","鶴見一丁目","35.502499","139.671085","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010006005","東寺尾五丁目","35.502196","139.659368","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010006002","東寺尾二丁目","35.503178","139.654840","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011001","馬場一丁目","35.505816","139.644697","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010006006","東寺尾六丁目","35.507410","139.660616","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010012000","大黒ふ頭","35.459952","139.680534","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010013000","大黒町","35.480481","139.675908","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010014001","末広町一丁目","35.487313","139.684437","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010015000","扇島","35.476231","139.711816","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010016001","安善町一丁目","35.497379","139.702062","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010017001","浜町一丁目","35.501488","139.693487","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010018003","仲通三丁目","35.500685","139.691285","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010018002","仲通二丁目","35.501387","139.689134","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010018001","仲通一丁目","35.501680","139.686566","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010019002","下野谷町二丁目","35.499600","139.680956","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010001004","本町通四丁目","35.500073","139.685244","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010001003","本町通三丁目","35.501562","139.684279","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010020001","汐入町一丁目","35.498289","139.686190","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010020002","汐入町二丁目","35.499259","139.688324","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010020003","汐入町三丁目","35.499500","139.690588","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010019001","下野谷町一丁目","35.500649","139.679238","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010019003","下野谷町三丁目","35.498659","139.681770","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010019004","下野谷町四丁目","35.498684","139.684082","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010021003","生麦三丁目","35.494693","139.668778","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010014002","末広町二丁目","35.489743","139.700224","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010016002","安善町二丁目","35.491706","139.705792","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010022000","小野町","35.497350","139.679398","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010021005","生麦五丁目","35.499636","139.674370","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010021002","生麦二丁目","35.492820","139.674135","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010021001","生麦一丁目","35.491025","139.664877","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010007004","岸谷四丁目","35.498729","139.667673","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010021004","生麦四丁目","35.496699","139.671977","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010023000","弁天町","35.497822","139.692118","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010017002","浜町二丁目","35.500278","139.693886","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010007001","岸谷一丁目","35.494503","139.663424","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010007002","岸谷二丁目","35.495861","139.661407","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010006003","東寺尾三丁目","35.499421","139.656214","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010006004","東寺尾四丁目","35.497497","139.659470","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010024003","駒岡三丁目","35.529647","139.655285","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010025004","向井町四丁目","35.505430","139.692462","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010025002","向井町二丁目","35.505592","139.688140","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010025003","向井町三丁目","35.505483","139.690255","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010009004","鶴見中央四丁目","35.506729","139.680594","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010009001","鶴見中央一丁目","35.508890","139.677873","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010026000","東寺尾中台","35.508003","139.664594","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010010002","鶴見二丁目","35.506913","139.670166","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010027004","栄町通四丁目","35.512983","139.689397","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010028002","平安町二丁目","35.509924","139.693554","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010027001","栄町通一丁目","35.507629","139.690197","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010027002","栄町通二丁目","35.509247","139.690207","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010027003","栄町通三丁目","35.511080","139.689670","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010009002","鶴見中央二丁目","35.512285","139.679979","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010029000","市場富士見町","35.516811","139.688815","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010030000","菅沢町","35.513997","139.686849","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010031000","市場東中町","35.518653","139.685799","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010025001","向井町一丁目","35.505622","139.685704","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010009003","鶴見中央三丁目","35.509548","139.684353","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010032000","市場大和町","35.517771","139.687559","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010028001","平安町一丁目","35.516378","139.691427","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010033006","下末吉六丁目","35.520842","139.664650","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010034001","尻手一丁目","35.524628","139.686371","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010035000","市場上町","35.520910","139.687005","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010036000","市場下町","35.516232","139.681617","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010037000","市場西中町","35.517356","139.684559","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010038001","元宮一丁目","35.521518","139.682703","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010038002","元宮二丁目","35.520037","139.679073","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010033002","下末吉二丁目","35.520016","139.674460","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010033003","下末吉三丁目","35.523832","139.674103","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010033005","下末吉五丁目","35.518798","139.666469","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010033004","下末吉四丁目","35.522162","139.670727","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010039004","上末吉四丁目","35.529173","139.666115","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010040002","寺谷二丁目","35.513214","139.670470","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010041000","豊岡町","35.509072","139.674010","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010040001","寺谷一丁目","35.511342","139.668460","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010042000","諏訪坂","35.515962","139.668822","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010043000","東寺尾北台","35.512162","139.664776","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010044000","佃野町","35.514672","139.674438","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010033001","下末吉一丁目","35.518839","139.671067","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045002","北寺尾二丁目","35.515761","139.663544","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045001","北寺尾一丁目","35.513827","139.661461","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011004","馬場四丁目","35.509160","139.658126","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011006","馬場六丁目","35.511708","139.651657","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011002","馬場二丁目","35.508449","139.649597","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045007","北寺尾七丁目","35.513730","139.643653","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045006","北寺尾六丁目","35.513865","139.648029","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045003","北寺尾三丁目","35.518572","139.658915","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045004","北寺尾四丁目","35.516044","139.657400","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010046000","三ツ池公園","35.524002","139.662348","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010047003","獅子ケ谷三丁目","35.519200","139.643830","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010047002","獅子ケ谷二丁目","35.520681","139.646760","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010045005","北寺尾五丁目","35.514117","139.653321","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010047001","獅子ケ谷一丁目","35.518711","139.652837","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011005","馬場五丁目","35.511652","139.655367","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011003","馬場三丁目","35.507295","139.653242","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010048001","上の宮一丁目","35.511049","139.639470","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010024001","駒岡一丁目","35.522270","139.652224","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010011007","馬場七丁目","35.509568","139.643755","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010048002","上の宮二丁目","35.514059","139.639894","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010024004","駒岡四丁目","35.535014","139.657345","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010034003","尻手三丁目","35.527983","139.682620","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010034002","尻手二丁目","35.527212","139.684413","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010049003","矢向三丁目","35.534362","139.679129","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010049001","矢向一丁目","35.527945","139.676455","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010049002","矢向二丁目","35.528032","139.680110","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010049004","矢向四丁目","35.533228","139.682025","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010050002","梶山二丁目","35.528469","139.659344","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010050001","梶山一丁目","35.527359","139.663000","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010039005","上末吉五丁目","35.533417","139.663597","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010039001","上末吉一丁目","35.525513","139.667909","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010039002","上末吉二丁目","35.526990","139.671971","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010039003","上末吉三丁目","35.529688","139.669787","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010051000","江ケ崎町","35.535436","139.673638","0","1"
"14","神奈川県","14101","横浜市鶴見区","141010049006","矢向六丁目","35.538612","139.678329","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010049005","矢向五丁目","35.538094","139.682865","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010024005","駒岡五丁目","35.535061","139.651070","0","3"
"14","神奈川県","14101","横浜市鶴見区","141010024002","駒岡二丁目","35.528242","139.649626","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020001002","鶴屋町二丁目","35.469008","139.621716","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020002003","松本町三丁目","35.476068","139.621441","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020003000","斎藤分町","35.483002","139.625026","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020004000","台町","35.470391","139.623634","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020005002","上反町二丁目","35.473869","139.622712","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020006003","六角橋三丁目","35.485211","139.621231","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020007000","泉町","35.473937","139.620721","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020008000","栗田谷","35.479076","139.620140","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020009000","中丸","35.481906","139.620906","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020006002","六角橋二丁目","35.488582","139.621886","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020010000","高島台","35.471965","139.623004","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020006001","六角橋一丁目","35.489467","139.624989","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020011004","松見町四丁目","35.503749","139.639978","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020012001","西寺尾一丁目","35.502007","139.644228","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020013000","菅田町","35.498062","139.585809","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020014000","宝町","35.480990","139.663821","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020015000","恵比須町","35.479586","139.656381","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020016001","千若町一丁目","35.475819","139.638921","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020016002","千若町二丁目","35.474564","139.641628","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020017000","鈴繁町","35.470987","139.651060","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020018000","瑞穂町","35.468506","139.648625","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020019003","橋本町三丁目","35.470500","139.640478","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020020001","新浦島町一丁目","35.480837","139.643717","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020021000","出田町","35.477922","139.649043","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020022001","守屋町一丁目","35.481492","139.647017","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020023000","星野町","35.472813","139.635872","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020022002","守屋町二丁目","35.482357","139.649661","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020022004","守屋町四丁目","35.486511","139.661274","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020024002","西神奈川二丁目","35.484380","139.628765","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020020002","新浦島町二丁目","35.478774","139.642437","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020016003","千若町三丁目","35.478252","139.645505","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020025000","大野町","35.467325","139.630023","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020026000","青木町","35.471299","139.629007","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020027001","反町一丁目","35.475243","139.628768","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020027002","反町二丁目","35.475996","139.627691","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020011003","松見町三丁目","35.500851","139.640027","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020028000","桐畑","35.473514","139.626973","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020029000","金港町","35.468295","139.626032","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020030000","栄町","35.469908","139.630973","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020031000","山内町","35.467013","139.635112","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020032000","浦島町","35.482307","139.642860","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020033002","神奈川二丁目","35.473669","139.633820","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020034000","新町","35.480161","139.639662","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020001001","鶴屋町一丁目","35.468844","139.624025","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020019002","橋本町二丁目","35.469983","139.638544","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020002001","松本町一丁目","35.475733","139.624824","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020027004","反町四丁目","35.476700","139.627092","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020035001","東神奈川一丁目","35.477621","139.633580","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020036000","二ツ谷町","35.478118","139.630039","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020037000","神奈川本町","35.475005","139.632367","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020024003","西神奈川三丁目","35.486151","139.626928","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020024001","西神奈川一丁目","35.479840","139.631477","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020005001","上反町一丁目","35.473707","139.624516","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020027003","反町三丁目","35.475464","139.626028","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020033001","神奈川一丁目","35.471304","139.635077","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020019001","橋本町一丁目","35.469220","139.636107","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020038000","幸ケ谷","35.473578","139.630049","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020035002","東神奈川二丁目","35.479146","139.636239","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020039000","富家町","35.480490","139.633881","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020040000","広台太田町","35.477191","139.628759","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020041000","立町","35.482806","139.636418","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020042000","平川町","35.481877","139.628224","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020043000","二本榎","35.481029","139.625798","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020044000","旭ケ丘","35.478081","139.625798","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020045002","子安通二丁目","35.485594","139.652726","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020002002","松本町二丁目","35.475716","139.623297","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020046001","入江一丁目","35.487474","139.649438","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020047002","新子安二丁目","35.491418","139.652256","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020047001","新子安一丁目","35.489118","139.654578","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020022003","守屋町三丁目","35.483908","139.654749","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020045003","子安通三丁目","35.488193","139.658435","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020046002","入江二丁目","35.491201","139.648351","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020048001","子安台一丁目","35.491628","139.658822","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020049000","神之木台","35.493511","139.652335","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020048002","子安台二丁目","35.494497","139.656918","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020012004","西寺尾四丁目","35.497706","139.655123","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020050000","白幡西町","35.485113","139.633192","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020051000","白幡東町","35.486476","139.640022","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020052000","白幡上町","35.490060","139.630639","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020053000","七島町","35.487046","139.643439","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020011001","松見町一丁目","35.496330","139.642501","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020054000","大口仲町","35.492786","139.641311","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020012003","西寺尾三丁目","35.496764","139.650324","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020012002","西寺尾二丁目","35.498962","139.647803","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020055000","白楽","35.486156","139.629902","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020056000","鳥越","35.482530","139.633133","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020057000","浦島丘","35.484376","139.640519","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020058000","亀住町","35.482774","139.639963","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020045001","子安通一丁目","35.483908","139.646278","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020059000","西大口","35.492504","139.638727","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020060000","白幡町","35.491957","139.628840","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020061000","白幡向町","35.491822","139.634910","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020062000","大口通","35.491001","139.645316","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020063000","神之木町","35.494497","139.647606","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020064000","白幡南町","35.485881","139.636571","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020065000","白幡仲町","35.489015","139.636873","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020011002","松見町二丁目","35.497800","139.639222","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020066002","羽沢南二丁目","35.477019","139.582899","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020066004","羽沢南四丁目","35.480284","139.580392","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020002005","松本町五丁目","35.477252","139.617993","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020067000","松ケ丘","35.474800","139.618861","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020002006","松本町六丁目","35.476302","139.616820","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020006004","六角橋四丁目","35.484184","139.617946","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020068000","沢渡","35.471708","139.616632","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020002004","松本町四丁目","35.477120","139.619662","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020069000","三ツ沢下町","35.478330","139.615687","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020001003","鶴屋町三丁目","35.468993","139.618248","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020070000","三ツ沢西町","35.471986","139.603694","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020071000","三ツ沢南町","35.473244","139.608672","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020072000","三ツ沢東町","35.474231","139.613278","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020073000","三ツ沢上町","35.478486","139.604874","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020074001","片倉一丁目","35.485504","139.605435","0","3"
"14","神奈川県","14102","横浜市神奈川区","141020075000","三ツ沢中町","35.478421","139.610342","0","1"
"14","神奈川県","14102","横浜市神奈川区","141020074002","片倉二丁目","35.484974","139.600804","0","3"
