,取引価格（総額）,面積（㎡）,地区名,最寄駅：距離（分）,都市計画,建物の構造,築年数
0,38000000,45,青木町,2,商業地域,ＳＲＣ,28
1,22000000,25,青木町,2,商業地域,ＲＣ,15
2,21000000,25,青木町,2,商業地域,ＳＲＣ,27
4,12000000,30,青木町,4,商業地域,ＳＲＣ,32
5,23000000,25,青木町,2,商業地域,ＲＣ,14
6,22000000,25,青木町,2,商業地域,ＲＣ,14
7,16000000,25,青木町,2,商業地域,ＲＣ,14
8,25000000,25,青木町,2,商業地域,ＲＣ,14
9,25000000,45,青木町,0,商業地域,,49
10,20000000,45,青木町,1,商業地域,,33
11,49000000,60,青木町,4,商業地域,ＲＣ,8
12,29000000,45,青木町,1,商業地域,ＳＲＣ,32
13,33000000,35,青木町,4,商業地域,ＲＣ,8
15,30000000,70,青木町,0,商業地域,ＳＲＣ,48
16,27000000,50,青木町,0,商業地域,ＳＲＣ,48
17,18000000,30,青木町,4,商業地域,ＳＲＣ,30
18,11000000,30,青木町,5,商業地域,ＳＲＣ,30
19,12000000,25,青木町,4,商業地域,,30
20,25000000,35,青木町,2,商業地域,ＳＲＣ,25
21,14000000,25,青木町,2,商業地域,ＳＲＣ,25
22,33000000,35,青木町,4,商業地域,ＲＣ,7
23,24000000,55,青木町,0,商業地域,ＳＲＣ,47
25,50000000,60,青木町,5,商業地域,,1
26,24000000,70,青木町,1,商業地域,,47
27,33000000,40,青木町,4,商業地域,ＲＣ,7
28,18000000,45,青木町,0,商業地域,ＳＲＣ,46
29,18000000,35,青木町,2,商業地域,ＳＲＣ,30
30,6500000,20,青木町,3,商業地域,ＲＣ,32
31,48000000,60,青木町,5,商業地域,,0
32,23000000,25,青木町,2,商業地域,ＲＣ,11
33,46000000,50,青木町,4,商業地域,,0
34,34000000,35,青木町,4,商業地域,ＲＣ,11
35,9900000,25,青木町,5,商業地域,ＳＲＣ,29
36,23000000,25,青木町,2,商業地域,ＲＣ,11
37,23000000,25,青木町,2,商業地域,ＲＣ,11
38,49000000,60,青木町,4,商業地域,,6
40,25000000,35,青木町,4,商業地域,ＲＣ,10
41,24000000,25,青木町,2,商業地域,ＲＣ,10
42,26000000,25,青木町,3,商業地域,,10
43,20000000,25,青木町,2,商業地域,,10
44,27000000,25,青木町,4,商業地域,ＲＣ,10
45,23000000,45,青木町,1,商業地域,,45
46,17000000,45,青木町,1,商業地域,ＳＲＣ,29
47,13000000,25,青木町,2,商業地域,ＳＲＣ,23
48,10000000,25,青木町,2,商業地域,ＳＲＣ,23
49,22000000,45,青木町,2,商業地域,ＳＲＣ,23
50,32000000,60,青木町,0,商業地域,ＳＲＣ,45
51,28000000,45,青木町,2,商業地域,,23
52,32000000,40,青木町,4,商業地域,ＲＣ,6
53,19000000,25,青木町,3,商業地域,ＲＣ,10
54,25000000,25,青木町,2,商業地域,ＲＣ,10
55,51000000,50,青木町,8,商業地域,,3
56,24000000,75,青木町,10,商業地域,ＲＣ,30
57,64000000,60,青木町,14,商業地域,,1
58,22000000,25,青木町,9,商業地域,,12
59,90000000,85,青木町,14,商業地域,,1
60,42000000,60,青木町,14,商業地域,,1
61,44000000,60,青木町,14,商業地域,,1
62,65000000,65,青木町,11,商業地域,ＲＣ,0
63,59000000,65,青木町,11,商業地域,ＲＣ,0
64,5300000,15,旭ケ丘,10,,,-1
68,9600000,15,旭ケ丘,8,近隣商業地域,ＲＣ,27
71,46000000,50,泉町,4,近隣商業地域,ＲＣ,21
72,45000000,60,泉町,4,近隣商業地域,ＲＣ,21
73,59000000,70,泉町,5,近隣商業地域,ＳＲＣ,24
74,33000000,50,泉町,4,近隣商業地域,ＲＣ,20
75,48000000,290,泉町,5,近隣商業地域,,23
76,44000000,70,泉町,5,近隣商業地域,,23
77,48000000,70,泉町,6,近隣商業地域,ＳＲＣ,23
78,36000000,55,泉町,6,近隣商業地域,ＳＲＣ,22
80,34000000,60,泉町,4,近隣商業地域,,17
82,38000000,60,入江,4,準工業地域,ＲＣ,20
88,25000000,55,入江,8,準工業地域,ＲＣ,24
90,41000000,65,入江,5,準工業地域,,8
